sensor,segment,timestamp,actual,pred,p10,p90
6716,history,2026-02-22 00:00:00,190.75,,,
6716,history,2026-02-22 01:00:00,118.75,,,
6716,history,2026-02-22 02:00:00,87.25,,,
6716,history,2026-02-22 03:00:00,42.5,,,
6716,history,2026-02-22 04:00:00,37.25,,,
6716,history,2026-02-22 05:00:00,21.0,,,
6716,history,2026-02-22 06:00:00,52.25,,,
6716,history,2026-02-22 07:00:00,74.0,,,
6716,history,2026-02-22 08:00:00,125.75,,,
6716,history,2026-02-22 09:00:00,191.75,,,
6716,history,2026-02-22 10:00:00,335.5,,,
6716,history,2026-02-22 11:00:00,433.0,,,
6716,history,2026-02-22 12:00:00,469.25,,,
6716,history,2026-02-22 13:00:00,513.25,,,
6716,history,2026-02-22 14:00:00,517.5,,,
6716,history,2026-02-22 15:00:00,295.5,,,
6716,history,2026-02-22 16:00:00,299.75,,,
6716,history,2026-02-22 17:00:00,396.0,,,
6716,history,2026-02-22 18:00:00,452.0,,,
6716,history,2026-02-22 19:00:00,406.75,,,
6716,history,2026-02-22 20:00:00,347.5,,,
6716,history,2026-02-22 21:00:00,265.25,,,
6716,history,2026-02-22 22:00:00,161.75,,,
6716,history,2026-02-22 23:00:00,80.75,,,
6716,history,2026-02-23 00:00:00,61.25,,,
6716,history,2026-02-23 01:00:00,13.0,,,
6716,history,2026-02-23 02:00:00,13.75,,,
6716,history,2026-02-23 03:00:00,9.0,,,
6716,history,2026-02-23 04:00:00,9.75,,,
6716,history,2026-02-23 05:00:00,29.0,,,
6716,history,2026-02-23 06:00:00,252.25,,,
6716,history,2026-02-23 07:00:00,775.0,,,
6716,history,2026-02-23 08:00:00,137.0,,,
6716,history,2026-02-23 09:00:00,869.25,,,
6716,history,2026-02-23 10:00:00,528.0,,,
6716,history,2026-02-23 11:00:00,425.0,,,
6716,history,2026-02-23 12:00:00,470.25,,,
6716,history,2026-02-23 13:00:00,544.25,,,
6716,history,2026-02-23 14:00:00,884.0,,,
